,Title,Author,Gender of Author,Sources,# of Male Sources,# of Female Sources
49,S Korea urges North not to send leaflets amid high tensions,['jin kim'],['male'],"['Jeong Kyeong', 'Moon Jae-in', 'North', 'Yoh Sangkey']",3,1
50,"From shops to dining out, NYC reopening hits 'biggest piece'",['jennifer peltz'],['female'],"['Eve Gonzalez', 'Kathy Hilt', 'Alex Michaels', 'William Rodgers', 'Larry Silverstein', 'Melba Wilson']",3,3
51,"Solar eclipse wows stargazers in Africa, Asia, Middle East",[],[],['Hasan al-Hariri'],1,0
52,"Coronavirus lockdowns increase poaching in Asia, Africa",['michael casey'],['male'],"['Shiv Raj Bhatta', 'Mayukh Chatterjee', 'Ray Jansen', 'Colin Poole', 'Uttam Saikia', 'John Scanlon', 'Emma Stokes', 'Sarah Stoner']",6,2
53,150 cannery workers forced into hotel quarantine without pay,[],[],"['Jonathan Davis', 'Leauri Moore']",1,0
54,Asia Today: 4th-worst-hit India sees rural virus cases soar,[],[],['Silvestre Bello III'],1,0
55,The Latest: China reports 22 newly confirmed cases of virus,[],[],"['Marc Boom', 'Nasser Bourita', 'John Bel Edwards', 'Barbara Ferrer', 'Lance Frye', 'Giulio Gallera', 'Dan Gelber', 'Alejandro Giammattei', 'Xu Hejian', 'Van Johnson', 'Tomás Leon', 'Henry McMaster', 'Michael Ryan', 'Fernando Simón', 'Knox White']",9,1
56,Federal investigation launched after noose found in garage stall of Black NASCAR driver at Talladega Superspeedway,['meredith deliso'],['female'],"['Bubba Wallace', 'Brad Daugherty', 'Steve Phelps', 'Jay E. Town', 'Bubba Wallace']",5,0
57,Pirated editions of John Bolton memoir have appeared online,[],[],['Adam Rothberg'],1,0
58,Museum to remove Roosevelt statue decried as white supremacy,[],[],"['Bill de Blasio', 'Ellen Futter', 'Futter', 'Theodore Roosevelt IV']",3,1
59,"The ESPYS focus on honors, pandemic and racial justice",['beth harris'],['female'],"['Kim Clavel', 'Kevin Love', 'Megan Rapinoe']",1,2
60,"Shakira, Dwayne Johnson highlight coronavirus equity concert",[],[],"['Hugh Evans', 'Dwayne Johnson', 'concert Dwayne Johnson', 'Dwayne Johnson']",4,0
61,Trump to celebrate border wall milestone in Arizona,['astrid galvan'],['female'],['Brett Hartl'],1,0
62,Surging US virus cases raise fear that progress is slipping,"['nathan ellgren', 'tammy webber']","['male', 'female']","['Greg Abbott', 'Marc Boom', 'Kevin Cole', 'John Bel Edwards', 'Eve Gonzalez', 'Raul Pino', 'Michael Ryan']",6,1
63,"As virus cases soar, Pakistan says it must keep economy open",[],[],"['Zeeshan Hassan', 'Imran Khan', 'Diya Rahman', 'Qaiser Sajjad', 'Haroon Sharif']",4,1
64,Wirecard scandal: Missing billions likely don't exist,[],[],"['Robert Halver', 'Felix Hufeld', 'Wirecard']",2,0
65,"Asian shares advance, tracking Wall Street tech rally",['yuri kageyama'],['male'],"['Peter Navarro', 'Jingyi Pan', 'Donald Trump']",2,1
66,Fire breaks out at hazmat facility at US air base on Okinawa,[],[],[],0,0
67,Today in History,[],[],['Nikki Haley'],0,1
68,Luxury fashion challenged to confront racist attitudes,"['colleen barry', 'thomas adamson']","['female', 'male']","['Tommy Dorfman', 'Dorfman', 'Salvatore Ferragamo', 'Tamu McPherson']",3,1
69,Virus outbreak could spin 'out of control' in South Sudan,"['maura ajak', 'cara anna']","['female', 'female']","['Kawa Tong', 'David Gai Zakayo']",2,0
70,New Zealand seizes $90M from Russian bitcoin fraud suspect,['nick perry'],['male'],['Andrew Coster'],1,0
71,"Report: Iran arrests founder of student charity, 2 aides",[],[],['Hassan Rouhani'],1,0
72,Protesters daub French colonial-era statues in red paint,[],[],[],0,0
73,"Floods hit northwest Turkey; 5 killed, 1 missing",[],[],['Suleyman Soylu'],1,0
74,Teen shot in Seattle protest zone declines police interview,['gene johnson'],['male'],['Jenny Durkan'],0,1
75,"Police say 2 dead, 7 wounded in Charlotte, North Carolina, shooting and 5 hit by cars afterward",[],[],[],0,0
