,Title,Author,Gender of Author,Sources,Male Sources,Female Sources,url
29,"While Confederate statues come down, other symbols targeted",[],[],"['Bill de Blasio', 'Roy Cooper']",2,0,https://abcnews.go.com/US/wireStory/confederate-statues-symbols-targeted-71374104
30,Tennessee newspaper investigating 'horrific' end of times ad,[],[],"['Michael A. Anastasi', 'Terry Heaton']",2,0,https://abcnews.go.com/US/wireStory/tennessee-newspaper-investigating-horrific-end-times-ad-71374251
31,Iran sends shipment of food to Venezuela in latest delivery,['scott smith'],['male'],['Russ Dallen'],1,0,https://abcnews.go.com/International/wireStory/iran-sends-shipment-food-venezuela-latest-delivery-71373829
32,Hungary's main online news site says independence in danger,[],[],[],0,0,https://abcnews.go.com/International/wireStory/hungarys-main-online-news-site-independence-danger-71374170
33,"Dimitrov positive for COVID-19, exhibition event canceled",[],[],"['Grigor Dimitrov', 'Novak Djokovic']",2,0,https://abcnews.go.com/Sports/wireStory/dimitrov-positive-covid-19-exhibition-event-canceled-71373614
34,Mexico catches alleged gang boss relatives; gang burns cars,[],[],[],0,0,https://abcnews.go.com/International/wireStory/mexico-catches-alleged-gang-boss-relatives-gang-burns-71374865
35,AP Interview: Egypt wants UN to avert unilateral fill of dam,"['lee keath', 'samy magdy']","['male', 'male']","['William Davison', 'Sameh Shukry', 'Sameh Shukry']",3,0,https://abcnews.go.com/International/wireStory/ap-interview-egypt-stop-ethiopia-dam-fill-71374965
36,"Because of the virus, dads mark Father's Day from a distance",[],[],"['Kelly Cooper', 'David Cooper', 'Jason Reyes', 'Frank Wolff']",3,1,https://abcnews.go.com/Health/wireStory/virus-dads-mark-fathers-day-distance-71374967
37,2 lawmakers want state probe of shooting death by LA deputy,[],[],['Kent Wegener'],1,0,https://abcnews.go.com/US/wireStory/lawmakers-state-probe-shooting-death-la-deputy-71375375
38,"Bolton says he hopes Trump is 1-term president, warns country imperiled by his reelection",['conor finnegan'],['male'],"['Bolton', 'Recep Tayyip Erdogan', 'Mike Pompeo']",3,0,https://abcnews.go.com/Politics/bolton-hopes-trump-term-president-warns-country-imperiled/story?id=71320449
39,Insider Q&A: Honeywell CEO gears company for pandemic shifts,"[""matt o'brien""]",['male'],[],0,0,https://abcnews.go.com/Business/wireStory/insider-qa-honeywell-ceo-gears-company-pandemic-shifts-71371443
40,"Hit hard by virus, fine dining finds new ways to serve",['dee-ann'],['female'],"['Dominique Crenn', 'Atelier Crenn', 'Nick Kokonas', 'David Mitroff']",4,0,https://abcnews.go.com/Business/wireStory/hit-hard-virus-fine-dining-finds-ways-serve-71371745
41,Watchdogs: Treasury too secretive on small business loans,"[""anne d'innocenzio""]",['female'],"['John Arensmeyer', 'Danielle Brian', 'Steven Mnuchin', 'Marco Rubio']",3,1,https://abcnews.go.com/Business/wireStory/watchdogs-treasury-secretive-small-business-loans-71372175
42,The Latest: New Zealand reports 2 new coronavirus cases,[],[],"['Anthony Fauci', 'Pope Francis', 'Lance Frye', 'Matt Hancock', 'Tahera Khandaker', 'Peter Navarro', 'Benjamin Netanyahu', 'Trump', 'Chad Wolf', 'Wolf']",9,1,https://abcnews.go.com/Business/wireStory/latest-israeli-pm-urges-action-avoid-lockdowns-71371546
43,"Did TikTok teens, K-Pop fans punk Trump's comeback rally?",['barbara'],['female'],"['Andrew Bates', 'Andy Little', 'Steve Schmidt', 'Donald Trump', 'Trump']",5,0,https://abcnews.go.com/Business/wireStory/tiktok-teens-pop-fans-punk-trumps-comeback-rally-71374173
44,WHO reports largest single-day increase in coronavirus cases,"['joseph wilson', 'jamey keaten']","['male', 'male']","['Pedro Delgado', 'Peter Navarro', 'Pedro Sánchez', 'Trump']",4,0,https://abcnews.go.com/Business/wireStory/spain-opens-border-tourists-trump-testing-71370003
45,Chinese state media say 8 elementary school students have drowned after one fell into a river and others tried to help,[],[],[],0,0,https://abcnews.go.com/International/wireStory/chinese-state-media-elementary-school-students-drowned-fell-71376352
46,8 young children drown in river in southwestern Chinese city,[],[],[],0,0,https://abcnews.go.com/International/wireStory/chinese-school-children-drown-river-chongqing-71376458
47,Politicians call for attorney general to investigate police shooting of California teenager,['bill hutchinson'],['male'],"['Diaz Barragan', 'Xavier Becerra', 'Andres Guardado', 'Alex Villanueva', 'Kent Wegener']",5,0,https://abcnews.go.com/US/politicians-call-attorney-general-investigate-police-shooting-california/story?id=71374171
48,Asian shares mostly higher as US reports surging virus cases,['elaine kurtenbach'],['female'],[],0,0,https://abcnews.go.com/Business/wireStory/asian-shares-higher-us-reports-surging-virus-cases-71377180
49,S Korea urges North not to send leaflets amid high tensions,['jin kim'],['male'],"['Jeong Kyeong', 'Moon Jae-in', 'North', 'Yoh Sangkey']",3,1,https://abcnews.go.com/International/wireStory/korea-urges-north-send-leaflets-amid-high-tensions-71377068
50,"From shops to dining out, NYC reopening hits 'biggest piece'",['jennifer peltz'],['female'],"['Eve Gonzalez', 'Kathy Hilt', 'Alex Michaels', 'William Rodgers', 'Larry Silverstein', 'Melba Wilson']",3,3,https://abcnews.go.com/Business/wireStory/shops-dining-nyc-reopening-hits-biggest-piece-71377553
51,"Solar eclipse wows stargazers in Africa, Asia, Middle East",[],[],['Hasan al-Hariri'],1,0,https://abcnews.go.com/Technology/wireStory/solar-eclipse-wows-stargazers-africa-asia-middle-east-71377381
52,"Coronavirus lockdowns increase poaching in Asia, Africa",['michael casey'],['male'],"['Shiv Raj Bhatta', 'Mayukh Chatterjee', 'Ray Jansen', 'Colin Poole', 'Uttam Saikia', 'John Scanlon', 'Emma Stokes', 'Sarah Stoner']",6,2,https://abcnews.go.com/Technology/wireStory/coronavirus-lockdowns-increase-poaching-asia-africa-71377281
53,150 cannery workers forced into hotel quarantine without pay,[],[],"['Jonathan Davis', 'Leauri Moore']",1,0,https://abcnews.go.com/Health/wireStory/150-cannery-workers-forced-hotel-quarantine-pay-71376773
54,Asia Today: 4th-worst-hit India sees rural virus cases soar,[],[],['Silvestre Bello III'],1,0,https://abcnews.go.com/Health/wireStory/asia-today-south-koreas-virus-cases-dropping-71376776
55,The Latest: China reports 22 newly confirmed cases of virus,[],[],"['Marc Boom', 'Nasser Bourita', 'John Bel Edwards', 'Barbara Ferrer', 'Lance Frye', 'Giulio Gallera', 'Dan Gelber', 'Alejandro Giammattei', 'Xu Hejian', 'Van Johnson', 'Tomás Leon', 'Henry McMaster', 'Michael Ryan', 'Fernando Simón', 'Knox White']",9,1,https://abcnews.go.com/Health/wireStory/latest-indias-infections-soaring-rural-areas-71377688
56,Federal investigation launched after noose found in garage stall of Black NASCAR driver at Talladega Superspeedway,['meredith deliso'],['female'],"['Bubba Wallace', 'Brad Daugherty', 'Steve Phelps', 'Jay E. Town', 'Bubba Wallace']",5,0,https://abcnews.go.com/Sports/noose-found-garage-stall-black-nascar-driver-talladega/story?id=71377078
57,Pirated editions of John Bolton memoir have appeared online,[],[],['Adam Rothberg'],1,0,https://abcnews.go.com/Entertainment/wireStory/pirated-editions-john-bolton-memoir-appeared-online-71372952
58,Museum to remove Roosevelt statue decried as white supremacy,[],[],"['Bill de Blasio', 'Ellen Futter', 'Futter', 'Theodore Roosevelt IV']",3,1,https://abcnews.go.com/Entertainment/wireStory/museum-remove-roosevelt-statue-decried-white-supremacy-71375410
59,"The ESPYS focus on honors, pandemic and racial justice",['beth harris'],['female'],"['Kim Clavel', 'Kevin Love', 'Megan Rapinoe']",1,2,https://abcnews.go.com/Entertainment/wireStory/espys-focus-honors-pandemic-racial-justice-71376901
